matched_scan_within_1d,scan_behavior_state,alerts,mean_alert_confidence,mean_behavior_activity_score,mean_pct_immobile,mean_pct_active_mobile
0,,133,48.14887218045113,,,
1,active_mobile_present,2,52.05,0.4666666666666667,0.13333333333333333,0.3333333333333333
1,immobile_dominant,1,46.0,0.125,0.6333333333333333,0.03333333333333333
1,mixed_or_low_signal,2,51.15,0.26666666666666666,0.3833333333333333,0.08333333333333333
1,rumination_dominant,11,48.16363636363636,0.22121212121212122,0.23636363636363636,0.02727272727272727
