Cow,T,if_anomaly_point,pred_problem_episode,pred_problem_start,pred_lameness_episode,pred_lameness_start,notif_lameness,lame_confidence,coverage_pct,season,alert_time,alert_date,matched_scan_within_1d,same_day_scan,scan_scan_date,scan_behavior_state,scan_behavior_activity_score,scan_pct_active_mobile,scan_pct_immobile,scan_pct_rumination,scan_total_scans,scan_Weather_conditions,scan_Treatment_hour,scan_Treatment_pad_size(m2),scan_day_delta,scan_abs_day_delta
2063,2019-02-12 19:00:00,1,1,1,1,1,1,46.6,100.0,winter_2019,2019-02-12 19:00:00,2019-02-12,0,0,,,,,,,,,,,,
2069,2019-02-01 11:00:00,1,1,1,1,1,1,48.4,100.0,winter_2019,2019-02-01 11:00:00,2019-02-01,0,0,,,,,,,,,,,,
2069,2019-02-03 00:30:00,1,1,1,1,1,1,47.7,100.0,winter_2019,2019-02-03 00:30:00,2019-02-03,0,0,,,,,,,,,,,,
2069,2019-02-03 14:30:00,1,1,1,1,1,1,51.2,100.0,winter_2019,2019-02-03 14:30:00,2019-02-03,0,0,,,,,,,,,,,,
2069,2019-02-04 06:00:00,0,1,1,1,1,1,45.9,100.0,winter_2019,2019-02-04 06:00:00,2019-02-04,0,0,,,,,,,,,,,,
2069,2019-02-07 12:00:00,0,1,1,1,1,1,51.2,100.0,winter_2019,2019-02-07 12:00:00,2019-02-07,0,0,,,,,,,,,,,,
2069,2019-02-08 05:30:00,1,1,1,1,1,1,49.6,100.0,winter_2019,2019-02-08 05:30:00,2019-02-08,0,0,,,,,,,,,,,,
2069,2019-04-02 09:15:00,1,1,1,1,1,1,46.8,100.0,winter_2019,2019-04-02 09:15:00,2019-04-02,0,0,,,,,,,,,,,,
2081,2019-01-25 07:15:00,0,1,1,1,1,1,45.5,100.0,winter_2019,2019-01-25 07:15:00,2019-01-25,0,0,,,,,,,,,,,,
2081,2019-01-30 12:00:00,1,1,1,1,1,1,58.6,100.0,winter_2019,2019-01-30 12:00:00,2019-01-30,0,0,,,,,,,,,,,,
2081,2019-02-01 16:00:00,1,1,1,1,1,1,47.1,100.0,winter_2019,2019-02-01 16:00:00,2019-02-01,0,0,,,,,,,,,,,,
2081,2019-02-04 10:00:00,1,1,1,1,1,1,47.4,100.0,winter_2019,2019-02-04 10:00:00,2019-02-04,0,0,,,,,,,,,,,,
2081,2019-02-06 14:30:00,0,1,1,1,1,1,44.4,100.0,winter_2019,2019-02-06 14:30:00,2019-02-06,0,0,,,,,,,,,,,,
2081,2019-02-07 08:00:00,0,1,1,1,1,1,48.5,100.0,winter_2019,2019-02-07 08:00:00,2019-02-07,0,0,,,,,,,,,,,,
2081,2019-02-08 10:30:00,1,1,1,1,1,1,47.1,100.0,winter_2019,2019-02-08 10:30:00,2019-02-08,0,0,,,,,,,,,,,,
2081,2019-02-11 15:00:00,0,1,1,1,1,1,47.2,100.0,winter_2019,2019-02-11 15:00:00,2019-02-11,0,0,,,,,,,,,,,,
2081,2019-02-28 07:00:00,0,1,1,1,1,1,40.5,100.0,winter_2019,2019-02-28 07:00:00,2019-02-28,0,0,,,,,,,,,,,,
2081,2019-03-01 11:15:00,1,1,1,1,1,1,49.8,100.0,winter_2019,2019-03-01 11:15:00,2019-03-01,0,0,,,,,,,,,,,,
2081,2019-03-12 11:00:00,1,1,1,1,1,1,48.8,100.0,winter_2019,2019-03-12 11:00:00,2019-03-12,0,0,,,,,,,,,,,,
2083,2019-02-18 10:15:00,1,1,1,1,1,1,57.0,100.0,winter_2019,2019-02-18 10:15:00,2019-02-18,0,0,,,,,,,,,,,,
3437,2019-01-28 08:30:00,1,1,1,1,1,1,48.2,100.0,winter_2019,2019-01-28 08:30:00,2019-01-28,0,0,,,,,,,,,,,,
3437,2019-02-01 13:00:00,1,1,1,1,1,1,47.7,100.0,winter_2019,2019-02-01 13:00:00,2019-02-01,0,0,,,,,,,,,,,,
3437,2019-02-03 10:45:00,1,1,1,1,1,1,46.8,100.0,winter_2019,2019-02-03 10:45:00,2019-02-03,0,0,,,,,,,,,,,,
3437,2019-02-04 10:15:00,1,1,1,1,1,1,47.5,100.0,winter_2019,2019-02-04 10:15:00,2019-02-04,0,0,,,,,,,,,,,,
3437,2019-02-07 08:30:00,1,1,1,1,1,1,50.2,100.0,winter_2019,2019-02-07 08:30:00,2019-02-07,0,0,,,,,,,,,,,,
3437,2019-02-08 10:45:00,1,1,1,1,1,1,46.9,100.0,winter_2019,2019-02-08 10:45:00,2019-02-08,0,0,,,,,,,,,,,,
3437,2019-02-11 09:30:00,1,1,1,1,1,1,47.5,100.0,winter_2019,2019-02-11 09:30:00,2019-02-11,0,0,,,,,,,,,,,,
3437,2019-03-12 11:45:00,1,1,1,1,1,1,48.1,100.0,winter_2019,2019-03-12 11:45:00,2019-03-12,0,0,,,,,,,,,,,,
3437,2019-03-20 08:45:00,0,1,1,1,1,1,45.6,100.0,winter_2019,2019-03-20 08:45:00,2019-03-20,0,0,,,,,,,,,,,,
3443,2019-02-02 10:15:00,1,1,1,1,1,1,47.8,100.0,winter_2019,2019-02-02 10:15:00,2019-02-02,0,0,,,,,,,,,,,,
3443,2019-02-03 10:45:00,1,1,1,1,1,1,47.3,100.0,winter_2019,2019-02-03 10:45:00,2019-02-03,0,0,,,,,,,,,,,,
3443,2019-02-04 08:00:00,1,1,1,1,1,1,47.3,100.0,winter_2019,2019-02-04 08:00:00,2019-02-04,0,0,,,,,,,,,,,,
3443,2019-02-05 11:00:00,1,1,1,1,1,1,50.2,100.0,winter_2019,2019-02-05 11:00:00,2019-02-05,0,0,,,,,,,,,,,,
3443,2019-02-07 11:45:00,1,1,1,1,1,1,58.9,100.0,winter_2019,2019-02-07 11:45:00,2019-02-07,0,0,,,,,,,,,,,,
3443,2019-02-08 11:15:00,1,1,1,1,1,1,47.9,100.0,winter_2019,2019-02-08 11:15:00,2019-02-08,0,0,,,,,,,,,,,,
3443,2019-02-11 12:15:00,1,1,1,1,1,1,49.7,100.0,winter_2019,2019-02-11 12:15:00,2019-02-11,0,0,,,,,,,,,,,,
3443,2019-02-20 10:30:00,1,1,1,1,1,1,48.0,100.0,winter_2019,2019-02-20 10:30:00,2019-02-20,0,0,,,,,,,,,,,,
3443,2019-02-21 11:30:00,1,1,1,1,1,1,58.3,100.0,winter_2019,2019-02-21 11:30:00,2019-02-21,1,0,2019-02-22,mixed_or_low_signal,0.31666666666666665,0.13333333333333333,0.3333333333333333,0.3333333333333333,15.0,clear,1.0,80.0,1.0,1.0
3443,2019-03-01 11:30:00,1,1,1,1,1,1,50.2,100.0,winter_2019,2019-03-01 11:30:00,2019-03-01,0,0,,,,,,,,,,,,
3443,2019-03-17 15:30:00,1,1,1,1,1,1,57.2,100.0,winter_2019,2019-03-17 15:30:00,2019-03-17,0,0,,,,,,,,,,,,
3443,2019-03-20 11:15:00,1,1,1,1,1,1,46.7,100.0,winter_2019,2019-03-20 11:15:00,2019-03-20,0,0,,,,,,,,,,,,
5221,2019-02-06 21:45:00,0,1,1,1,1,1,45.7,100.0,winter_2019,2019-02-06 21:45:00,2019-02-06,0,0,,,,,,,,,,,,
5221,2019-02-08 07:15:00,1,1,1,1,1,1,46.6,100.0,winter_2019,2019-02-08 07:15:00,2019-02-08,0,0,,,,,,,,,,,,
5221,2019-03-14 05:00:00,0,1,1,1,1,1,41.8,100.0,winter_2019,2019-03-14 05:00:00,2019-03-14,0,0,,,,,,,,,,,,
5221,2019-03-19 07:00:00,1,1,1,1,1,1,47.9,100.0,winter_2019,2019-03-19 07:00:00,2019-03-19,0,0,,,,,,,,,,,,
5221,2019-03-31 07:15:00,0,1,1,1,1,1,46.4,100.0,winter_2019,2019-03-31 07:15:00,2019-03-31,0,0,,,,,,,,,,,,
5221,2019-04-03 06:30:00,0,1,1,1,1,1,46.3,100.0,winter_2019,2019-04-03 06:30:00,2019-04-03,0,0,,,,,,,,,,,,
5246,2019-02-02 12:00:00,0,1,1,1,1,1,41.6,100.0,winter_2019,2019-02-02 12:00:00,2019-02-02,0,0,,,,,,,,,,,,
5246,2019-02-03 00:30:00,0,1,1,1,1,1,40.1,100.0,winter_2019,2019-02-03 00:30:00,2019-02-03,0,0,,,,,,,,,,,,
5246,2019-02-05 16:45:00,0,1,1,1,1,1,54.9,100.0,winter_2019,2019-02-05 16:45:00,2019-02-05,0,0,,,,,,,,,,,,
5246,2019-02-06 22:00:00,1,1,1,1,1,1,51.2,100.0,winter_2019,2019-02-06 22:00:00,2019-02-06,0,0,,,,,,,,,,,,
5246,2019-02-07 12:00:00,1,1,1,1,1,1,48.8,100.0,winter_2019,2019-02-07 12:00:00,2019-02-07,0,0,,,,,,,,,,,,
5246,2019-02-08 00:15:00,1,1,1,1,1,1,46.6,100.0,winter_2019,2019-02-08 00:15:00,2019-02-08,0,0,,,,,,,,,,,,
5246,2019-02-08 12:30:00,0,1,1,1,1,1,49.5,100.0,winter_2019,2019-02-08 12:30:00,2019-02-08,0,0,,,,,,,,,,,,
5246,2019-03-15 14:30:00,0,1,1,1,1,1,46.0,100.0,winter_2019,2019-03-15 14:30:00,2019-03-15,1,1,2019-03-15,immobile_dominant,0.125,0.03333333333333333,0.6333333333333333,0.3,30.0,clear,2.0,40.0,0.0,0.0
5250,2019-01-17 22:15:00,0,1,1,1,1,1,44.3,100.0,winter_2019,2019-01-17 22:15:00,2019-01-17,0,0,,,,,,,,,,,,
5250,2019-01-19 23:30:00,1,1,1,1,1,1,46.8,100.0,winter_2019,2019-01-19 23:30:00,2019-01-19,0,0,,,,,,,,,,,,
5250,2019-02-03 03:15:00,1,1,1,1,1,1,47.2,100.0,winter_2019,2019-02-03 03:15:00,2019-02-03,0,0,,,,,,,,,,,,
5250,2019-02-04 02:45:00,1,1,1,1,1,1,47.0,100.0,winter_2019,2019-02-04 02:45:00,2019-02-04,0,0,,,,,,,,,,,,
5250,2019-02-05 10:15:00,1,1,1,1,1,1,46.6,100.0,winter_2019,2019-02-05 10:15:00,2019-02-05,0,0,,,,,,,,,,,,
5250,2019-02-06 01:30:00,0,1,1,1,1,1,45.6,100.0,winter_2019,2019-02-06 01:30:00,2019-02-06,0,0,,,,,,,,,,,,
5250,2019-02-07 03:30:00,1,1,1,1,1,1,46.5,100.0,winter_2019,2019-02-07 03:30:00,2019-02-07,0,0,,,,,,,,,,,,
5250,2019-02-08 10:45:00,1,1,1,1,1,1,48.0,100.0,winter_2019,2019-02-08 10:45:00,2019-02-08,0,0,,,,,,,,,,,,
5250,2019-03-02 00:15:00,0,1,1,1,1,1,41.2,100.0,winter_2019,2019-03-02 00:15:00,2019-03-02,0,0,,,,,,,,,,,,
5250,2019-03-08 12:00:00,1,1,1,1,1,1,49.9,100.0,winter_2019,2019-03-08 12:00:00,2019-03-08,0,0,,,,,,,,,,,,
5250,2019-04-01 22:30:00,1,1,1,1,1,1,46.8,100.0,winter_2019,2019-04-01 22:30:00,2019-04-01,0,0,,,,,,,,,,,,
5250,2019-04-02 11:30:00,1,1,1,1,1,1,61.2,100.0,winter_2019,2019-04-02 11:30:00,2019-04-02,0,0,,,,,,,,,,,,
5250,2019-04-11 00:15:00,1,1,1,1,1,1,46.5,100.0,winter_2019,2019-04-11 00:15:00,2019-04-11,0,0,,,,,,,,,,,,
8500,2019-01-24 10:15:00,1,1,1,1,1,1,47.2,100.0,winter_2019,2019-01-24 10:15:00,2019-01-24,0,0,,,,,,,,,,,,
8500,2019-02-01 20:00:00,1,1,1,1,1,1,56.5,100.0,winter_2019,2019-02-01 20:00:00,2019-02-01,0,0,,,,,,,,,,,,
8500,2019-02-03 17:00:00,1,1,1,1,1,1,47.0,100.0,winter_2019,2019-02-03 17:00:00,2019-02-03,0,0,,,,,,,,,,,,
8500,2019-02-04 07:15:00,1,1,1,1,1,1,47.3,100.0,winter_2019,2019-02-04 07:15:00,2019-02-04,0,0,,,,,,,,,,,,
