Cow,T,if_anomaly_point,pred_problem_episode,pred_problem_start,pred_lameness_episode,pred_lameness_start,notif_lameness,lame_confidence,coverage_pct
2047,2019-02-01 11:15:00,1,1,1,1,1,1,56.8,100.0
2047,2019-02-02 09:00:00,0,1,1,1,1,1,47.1,100.0
2047,2019-02-03 11:30:00,0,1,1,1,1,1,44.6,100.0
2047,2019-02-04 19:00:00,1,1,1,1,1,1,46.8,100.0
2047,2019-02-05 08:30:00,1,1,1,1,1,1,48.3,100.0
2047,2019-02-06 07:30:00,0,1,1,1,1,1,43.1,100.0
2047,2019-02-06 21:15:00,0,1,1,1,1,1,48.6,100.0
2047,2019-02-07 10:15:00,1,1,1,1,1,1,49.4,100.0
2047,2019-02-08 10:00:00,1,1,1,1,1,1,49.1,100.0
2056,2019-02-04 02:15:00,1,1,1,1,1,1,51.0,100.0
2056,2019-02-05 00:30:00,0,1,1,1,1,1,47.9,100.0
2056,2019-02-05 16:15:00,0,1,1,1,1,1,60.7,100.0
2056,2019-02-07 11:00:00,1,1,1,1,1,1,47.4,100.0
2056,2019-02-08 12:30:00,0,1,1,1,1,1,54.2,100.0
2056,2019-02-11 16:30:00,1,1,1,1,1,1,50.6,100.0
2056,2019-02-13 14:30:00,1,1,1,1,1,1,49.9,100.0
2056,2019-02-14 16:30:00,0,1,1,1,1,1,51.5,100.0
2056,2019-02-20 11:00:00,1,1,1,1,1,1,51.3,100.0
2056,2019-02-21 12:30:00,1,1,1,1,1,1,49.4,100.0
2056,2019-02-22 12:15:00,1,1,1,1,1,1,49.5,100.0
2056,2019-03-01 11:15:00,1,1,1,1,1,1,50.8,100.0
2056,2019-03-05 16:30:00,0,1,1,1,1,1,46.8,100.0
2056,2019-03-06 16:00:00,1,1,1,1,1,1,50.5,100.0
2056,2019-03-08 17:45:00,0,1,1,1,1,1,41.4,100.0
2056,2019-03-26 16:45:00,0,1,1,1,1,1,47.4,100.0
2056,2019-03-28 15:45:00,0,1,1,1,1,1,44.0,100.0
2063,2019-02-01 17:45:00,1,1,1,1,1,1,50.0,100.0
2063,2019-02-02 11:30:00,0,1,1,1,1,1,47.4,100.0
2063,2019-02-03 17:15:00,0,1,1,1,1,1,46.9,100.0
2063,2019-02-05 10:45:00,1,1,1,1,1,1,46.6,100.0
2063,2019-02-06 17:00:00,1,1,1,1,1,1,49.0,100.0
2063,2019-02-08 10:00:00,1,1,1,1,1,1,46.8,100.0
2063,2019-02-12 06:45:00,1,1,1,1,1,1,47.2,100.0
2063,2019-02-12 19:00:00,1,1,1,1,1,1,46.6,100.0
2069,2019-02-01 11:00:00,1,1,1,1,1,1,48.4,100.0
2069,2019-02-03 00:30:00,1,1,1,1,1,1,47.7,100.0
2069,2019-02-03 14:30:00,1,1,1,1,1,1,51.2,100.0
2069,2019-02-04 06:00:00,0,1,1,1,1,1,45.9,100.0
2069,2019-02-07 12:00:00,0,1,1,1,1,1,51.2,100.0
2069,2019-02-08 05:30:00,1,1,1,1,1,1,49.6,100.0
2069,2019-04-02 09:15:00,1,1,1,1,1,1,46.8,100.0
2081,2019-01-25 07:15:00,0,1,1,1,1,1,45.5,100.0
2081,2019-01-30 12:00:00,1,1,1,1,1,1,58.6,100.0
2081,2019-02-01 16:00:00,1,1,1,1,1,1,47.1,100.0
2081,2019-02-04 10:00:00,1,1,1,1,1,1,47.4,100.0
2081,2019-02-06 14:30:00,0,1,1,1,1,1,44.4,100.0
2081,2019-02-07 08:00:00,0,1,1,1,1,1,48.5,100.0
2081,2019-02-08 10:30:00,1,1,1,1,1,1,47.1,100.0
2081,2019-02-11 15:00:00,0,1,1,1,1,1,47.2,100.0
2081,2019-02-28 07:00:00,0,1,1,1,1,1,40.5,100.0
2081,2019-03-01 11:15:00,1,1,1,1,1,1,49.8,100.0
2081,2019-03-12 11:00:00,1,1,1,1,1,1,48.8,100.0
2083,2019-02-18 10:15:00,1,1,1,1,1,1,57.0,100.0
3437,2019-01-28 08:30:00,1,1,1,1,1,1,48.2,100.0
3437,2019-02-01 13:00:00,1,1,1,1,1,1,47.7,100.0
3437,2019-02-03 10:45:00,1,1,1,1,1,1,46.8,100.0
3437,2019-02-04 10:15:00,1,1,1,1,1,1,47.5,100.0
3437,2019-02-07 08:30:00,1,1,1,1,1,1,50.2,100.0
3437,2019-02-08 10:45:00,1,1,1,1,1,1,46.9,100.0
3437,2019-02-11 09:30:00,1,1,1,1,1,1,47.5,100.0
3437,2019-03-12 11:45:00,1,1,1,1,1,1,48.1,100.0
3437,2019-03-20 08:45:00,0,1,1,1,1,1,45.6,100.0
3443,2019-02-02 10:15:00,1,1,1,1,1,1,47.8,100.0
3443,2019-02-03 10:45:00,1,1,1,1,1,1,47.3,100.0
3443,2019-02-04 08:00:00,1,1,1,1,1,1,47.3,100.0
3443,2019-02-05 11:00:00,1,1,1,1,1,1,50.2,100.0
3443,2019-02-07 11:45:00,1,1,1,1,1,1,58.9,100.0
3443,2019-02-08 11:15:00,1,1,1,1,1,1,47.9,100.0
3443,2019-02-11 12:15:00,1,1,1,1,1,1,49.7,100.0
3443,2019-02-20 10:30:00,1,1,1,1,1,1,48.0,100.0
3443,2019-02-21 11:30:00,1,1,1,1,1,1,58.3,100.0
3443,2019-03-01 11:30:00,1,1,1,1,1,1,50.2,100.0
3443,2019-03-17 15:30:00,1,1,1,1,1,1,57.2,100.0
3443,2019-03-20 11:15:00,1,1,1,1,1,1,46.7,100.0
5221,2019-02-06 21:45:00,0,1,1,1,1,1,45.7,100.0
5221,2019-02-08 07:15:00,1,1,1,1,1,1,46.6,100.0
5221,2019-03-14 05:00:00,0,1,1,1,1,1,41.8,100.0
5221,2019-03-19 07:00:00,1,1,1,1,1,1,47.9,100.0
5221,2019-03-31 07:15:00,0,1,1,1,1,1,46.4,100.0
5221,2019-04-03 06:30:00,0,1,1,1,1,1,46.3,100.0
5246,2019-02-02 12:00:00,0,1,1,1,1,1,41.6,100.0
5246,2019-02-03 00:30:00,0,1,1,1,1,1,40.1,100.0
5246,2019-02-05 16:45:00,0,1,1,1,1,1,54.9,100.0
5246,2019-02-06 22:00:00,1,1,1,1,1,1,51.2,100.0
5246,2019-02-07 12:00:00,1,1,1,1,1,1,48.8,100.0
5246,2019-02-08 00:15:00,1,1,1,1,1,1,46.6,100.0
5246,2019-02-08 12:30:00,0,1,1,1,1,1,49.5,100.0
5246,2019-03-15 14:30:00,0,1,1,1,1,1,46.0,100.0
5250,2019-01-17 22:15:00,0,1,1,1,1,1,44.3,100.0
5250,2019-01-19 23:30:00,1,1,1,1,1,1,46.8,100.0
5250,2019-02-03 03:15:00,1,1,1,1,1,1,47.2,100.0
5250,2019-02-04 02:45:00,1,1,1,1,1,1,47.0,100.0
5250,2019-02-05 10:15:00,1,1,1,1,1,1,46.6,100.0
5250,2019-02-06 01:30:00,0,1,1,1,1,1,45.6,100.0
5250,2019-02-07 03:30:00,1,1,1,1,1,1,46.5,100.0
5250,2019-02-08 10:45:00,1,1,1,1,1,1,48.0,100.0
5250,2019-03-02 00:15:00,0,1,1,1,1,1,41.2,100.0
5250,2019-03-08 12:00:00,1,1,1,1,1,1,49.9,100.0
5250,2019-04-01 22:30:00,1,1,1,1,1,1,46.8,100.0
5250,2019-04-02 11:30:00,1,1,1,1,1,1,61.2,100.0
5250,2019-04-11 00:15:00,1,1,1,1,1,1,46.5,100.0
8500,2019-01-24 10:15:00,1,1,1,1,1,1,47.2,100.0
8500,2019-02-01 20:00:00,1,1,1,1,1,1,56.5,100.0
8500,2019-02-03 17:00:00,1,1,1,1,1,1,47.0,100.0
8500,2019-02-04 07:15:00,1,1,1,1,1,1,47.3,100.0
8500,2019-02-07 11:15:00,0,1,1,1,1,1,48.2,100.0
8500,2019-03-19 07:30:00,1,1,1,1,1,1,50.7,100.0
8500,2019-04-08 17:45:00,0,1,1,1,1,1,44.9,100.0
8502,2019-01-21 15:15:00,1,1,1,1,1,1,47.0,100.0
8502,2019-03-26 11:00:00,0,1,1,1,1,1,48.2,100.0
8502,2019-03-30 12:00:00,0,1,1,1,1,1,45.3,100.0
8505,2019-01-27 07:30:00,0,1,1,1,1,1,46.3,100.0
8506,2019-01-26 00:00:00,1,1,1,1,1,1,47.9,100.0
8506,2019-02-01 13:30:00,1,1,1,1,1,1,46.8,100.0
8506,2019-02-02 11:45:00,1,1,1,1,1,1,52.4,100.0
