pipeline,reference_boiterie,fenetre_capteur,n_vaches,n_sls_ge_2,n_sls_lt_2,moyenne_sls_ge_2,moyenne_sls_lt_2,auc,mann_whitney_p,spearman_rho,spearman_p
Pipeline initiale IF + règles,score McGill du 12 mars 2019,7 jours avant le score,14,3,11,1.0,0.273,0.576,0.6945,0.241,0.4068
Pipeline HYPO + instabilité + hybride,score McGill du 12 mars 2019,7 jours avant le score,14,3,11,6.667,4.455,0.924,0.0306,0.504,0.0659
