Date,Cow_ID,Week,Treatment_hour,Treatment_pad_size(m2),Paddock_number,Temp_7:15am_(C),Wind_speed_7:15am_(km/h),Windchill_index_7:15am,Weather_conditions,Paddock_surface_conditions,Gov_CAN_Temp_10am_(C),Gov_CAN_wind_speed_10am_(km/h),Gov_CAN_rel_humidity_10am_(%),Gov_CAN_Windchill_10am,Scan_SI,Scan_SR,Scan_SA,Scan_SW,Scan_SWR,Scan_PMH,Scan_SP,Scan_SN,Scan_W,Scan_EXI,Scan_EXW,Scan_SG,Scan_AG,Scan_ES,Scan_EW,Scan_KW,Scan_LD,Scan_EG,Scan_OT,Percentage_active,Scan_D_T,Scan_D_B,Scan_D_F,Distance_index_per_treatment_hour,Icetag_steps_per_treatment_hour1,Icetag_steps_per_treatment_hour2,Icetag_steps_2hours_total,Comments,count_active_immobile,count_active_mobile,count_immobile,count_other,count_rumination,total_scans,pct_active_immobile,pct_active_mobile,pct_immobile,pct_other,pct_rumination,behavior_activity_score,icetag_steps_session_total,icetag_steps_per_hour_norm
2019-03-07,8510,4.0,1,60,10,-19.0,4.0,-22.0,clear,snow,-12.8,4,54,-15.0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,8,6,0.6666666666666666,101,,,,0,0,3,0,12,15,0.0,0.0,0.2,0.0,0.8,0.2,101.0,101.0
2019-03-07,2056,4.0,2,20,4,-19.0,4.0,-22.0,clear,snow,-12.8,4,54,-15.0,9,19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,30,0,0.5,70,187.0,257.0,,2,0,9,0,19,30,0.06666666666666667,0.0,0.3,0.0,0.6333333333333333,0.19166666666666668,257.0,128.5
2019-03-07,3443,4.0,2,60,2,-19.0,4.0,-22.0,clear,snow,-12.8,4,54,-15.0,9,15,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,,4,14,12,0.6333333333333333,141,134.0,275.0,,1,3,11,0,15,30,0.03333333333333333,0.1,0.36666666666666664,0.0,0.5,0.24166666666666667,275.0,137.5
2019-03-07,2081,4.0,2,40,6,-19.0,4.0,-22.0,clear,snow,-12.8,4,54,-15.0,13,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,24,6,0.6,105,79.0,184.0,,0,1,13,0,16,30,0.0,0.03333333333333333,0.43333333333333335,0.0,0.5333333333333333,0.16666666666666666,184.0,92.0
2019-03-15,5250,5.0,1,80,9,11.0,0.0,11.0,clear,wet,9.4,25,58,,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,9,6,0.7,149,,,,0,1,8,0,6,15,0.0,0.06666666666666667,0.5333333333333333,0.0,0.4,0.16666666666666666,149.0,149.0
2019-03-15,2081,5.0,1,40,11,11.0,0.0,11.0,clear,wet,9.4,25,58,,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,13,2,0.5666666666666667,59,,,,0,0,0,0,15,15,0.0,0.0,0.0,0.0,1.0,0.25,59.0,59.0
2019-03-15,2056,5.0,1,20,13,11.0,0.0,11.0,clear,wet,9.4,25,58,,4,8,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,5,5,5,0.5,67,,,,1,0,6,0,8,15,0.06666666666666667,0.0,0.4,0.0,0.5333333333333333,0.16666666666666666,67.0,67.0
2019-03-15,3443,5.0,1,60,15,11.0,0.0,11.0,clear,wet,9.4,25,58,,2,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,11,3,0.5666666666666667,114,,,,1,0,2,0,12,15,0.06666666666666667,0.0,0.13333333333333333,0.0,0.8,0.23333333333333334,114.0,114.0
2019-03-15,3437,5.0,2,20,5,11.0,0.0,11.0,clear,wet,9.4,25,58,,14,12,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,,9,21,0,0.35,78,183.0,261.0,2 hour pairs done 12:14 but started bringing them in at 12:19,2,2,14,0,12,30,0.06666666666666667,0.06666666666666667,0.4666666666666667,0.0,0.4,0.2,261.0,130.5
2019-03-15,5246,5.0,2,40,3,11.0,0.0,11.0,clear,wet,9.4,25,58,,19,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,1,29,0,0.48333333333333334,56,83.0,139.0,2 hour pairs done 12:14 but started bringing them in at 12:19,1,1,19,0,9,30,0.03333333333333333,0.03333333333333333,0.6333333333333333,0.0,0.3,0.125,139.0,69.5
2019-03-15,8508,5.0,2,80,1,11.0,0.0,11.0,clear,wet,9.4,25,58,,6,15,0,0,0,0,2,0,3,1,0,0,3,0,0,0,0,0,0,,7,23,0,0.38333333333333336,66,97.0,163.0,2 hour pairs done 12:14 but started bringing them in at 12:19,6,3,6,0,15,30,0.2,0.1,0.2,0.0,0.5,0.325,163.0,81.5
2019-03-15,8510,5.0,2,60,7,11.0,0.0,11.0,clear,wet,9.4,25,58,,2,23,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,,0,23,7,0.6166666666666667,105,89.0,194.0,2 hour pairs done 12:14 but started bringing them in at 12:19,2,3,2,0,23,30,0.06666666666666667,0.1,0.06666666666666667,0.0,0.7666666666666667,0.325,194.0,97.0
2019-03-29,8510,7.2,1,80,16,5.5,0.2,5.5,rain,wood chips,4.1,11,85,,2,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,10,4,0.6,63,,,"wood chips in paddocks 2, 4, 6, 8, 10, 12, 14, 16",1,1,2,0,11,15,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.7333333333333333,0.2833333333333333,63.0,63.0
2019-03-29,5250,7.2,1,40,14,5.5,0.2,5.5,rain,wood chips,4.1,11,85,,8,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,1,5,9,0.7666666666666667,62,,,"wood chips in paddocks 2, 4, 6, 8, 10, 12, 14, 16",1,1,8,0,5,15,0.06666666666666667,0.06666666666666667,0.5333333333333333,0.0,0.3333333333333333,0.18333333333333332,62.0,62.0
2019-03-29,8508,7.2,1,60,10,5.5,0.2,5.5,rain,wood chips,4.1,11,85,,2,8,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,,3,8,4,0.5333333333333333,116,,,"wood chips in paddocks 2, 4, 6, 8, 10, 12, 14, 16",0,5,2,0,8,15,0.0,0.3333333333333333,0.13333333333333333,0.0,0.5333333333333333,0.4666666666666667,116.0,116.0
2019-03-29,3443,7.2,1,20,12,5.5,0.2,5.5,rain,wood chips,4.1,11,85,,1,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,1,13,1,0.5,62,,,"wood chips in paddocks 2, 4, 6, 8, 10, 12, 14, 16",2,0,1,0,12,15,0.13333333333333333,0.0,0.06666666666666667,0.0,0.8,0.26666666666666666,62.0,62.0
2019-03-29,2056,7.2,2,40,6,5.5,0.2,5.5,rain,wood chips,4.1,11,85,,11,10,1,0,0,0,0,0,0,5,1,0,0,0,0,1,1,0,0,,0,17,13,0.7166666666666667,82,94.0,176.0,"wood chips in paddocks 2, 4, 6, 8, 10, 12, 14, 16",6,1,13,0,10,30,0.2,0.03333333333333333,0.43333333333333335,0.0,0.3333333333333333,0.21666666666666667,176.0,88.0
2019-03-29,2081,7.2,2,20,4,5.5,0.2,5.5,rain,wood chips,4.1,11,85,,20,5,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,,3,26,1,0.4666666666666667,67,45.0,112.0,"wood chips in paddocks 2, 4, 6, 8, 10, 12, 14, 16",3,2,20,0,5,30,0.1,0.06666666666666667,0.6666666666666666,0.0,0.16666666666666666,0.15833333333333333,112.0,56.0
2019-03-29,5246,7.2,2,80,8,5.5,0.2,5.5,rain,wood chips,4.1,11,85,,2,24,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,1,13,16,0.75,25,26.0,51.0,"wood chips in paddocks 2, 4, 6, 8, 10, 12, 14, 16",4,0,2,0,24,30,0.13333333333333333,0.0,0.06666666666666667,0.0,0.8,0.26666666666666666,51.0,25.5
2019-03-29,3437,7.2,2,60,2,5.5,0.2,5.5,rain,wood chips,4.1,11,85,,9,15,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,0,0,,3,10,17,0.7333333333333333,145,179.0,324.0,"wood chips in paddocks 2, 4, 6, 8, 10, 12, 14, 16",4,2,9,0,15,30,0.13333333333333333,0.06666666666666667,0.3,0.0,0.5,0.25833333333333336,324.0,162.0
2019-04-05,2056,8.0,1,80,16,-7.0,0.0,-7.0,clear,wood chips,-0.5,12,37,-4.0,8,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,,0,1,14,0.9666666666666667,119,,,"wood chips in paddocks 2, 4, 6, 8, 10, 12, 14, 16",3,1,8,0,3,15,0.2,0.06666666666666667,0.5333333333333333,0.0,0.2,0.21666666666666667,119.0,119.0
2019-04-05,3443,8.0,1,40,14,-7.0,0.0,-7.0,clear,wood chips,-0.5,12,37,-4.0,4,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2,8,5,0.6,62,,,"wood chips in paddocks 2, 4, 6, 8, 10, 12, 14, 16",1,1,4,0,9,15,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.0,0.6,0.25,62.0,62.0
2019-04-05,2081,8.0,1,60,10,-7.0,0.0,-7.0,clear,wood chips,-0.5,12,37,-4.0,4,0,0,0,0,1,2,0,1,2,3,0,0,0,1,0,0,1,0,,3,6,6,0.6,110,,,"wood chips in paddocks 2, 4, 6, 8, 10, 12, 14, 16",6,5,4,0,0,15,0.4,0.3333333333333333,0.26666666666666666,0.0,0.0,0.5333333333333333,110.0,110.0
2019-04-05,8510,8.0,2,40,6,-7.0,0.0,-7.0,clear,wood chips,-0.5,12,37,-4.0,16,7,2,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,,0,25,5,0.5833333333333334,65,136.0,201.0,"wood chips in paddocks 2, 4, 6, 8, 10, 12, 14, 16",2,3,18,0,7,30,0.06666666666666667,0.1,0.6,0.0,0.23333333333333334,0.19166666666666668,201.0,100.5
2019-04-05,8508,8.0,2,20,4,-7.0,0.0,-7.0,clear,wood chips,-0.5,12,37,-4.0,12,14,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,,8,22,0,0.36666666666666664,41,92.0,133.0,"wood chips in paddocks 2, 4, 6, 8, 10, 12, 14, 16",3,1,12,0,14,30,0.1,0.03333333333333333,0.4,0.0,0.4666666666666667,0.2,133.0,66.5
2019-04-05,5246,8.0,2,60,2,-7.0,0.0,-7.0,clear,wood chips,-0.5,12,37,-4.0,7,19,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,29,1,0.5166666666666667,46,62.0,108.0,"wood chips in paddocks 2, 4, 6, 8, 10, 12, 14, 16",4,0,7,0,19,30,0.13333333333333333,0.0,0.23333333333333334,0.0,0.6333333333333333,0.225,108.0,54.0
2019-04-05,5250,8.0,1,20,12,-7.0,0.0,-7.0,clear,wood chips,-0.5,12,37,-4.0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,14,0,0.4666666666666667,69,,,"wood chips in paddocks 2, 4, 6, 8, 10, 12, 14, 16",0,0,1,0,14,15,0.0,0.0,0.06666666666666667,0.0,0.9333333333333333,0.23333333333333334,69.0,69.0
