layer,season,source_type,extension,relative_path,file_size_mb,rows,cols,n_cows,date_min,date_max,sheet_count,sheet_names_preview,columns_preview
raw_mcgill_complete,Fall 2019,accelerometer_icetag_workbook_or_mapping,.xlsx,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/AllinOne_IceTag_Compiled_Lameness+LB.xlsx,0.751,454,7,,,,30,"5871, 5865, 5857, 5327, 2062, 2041, 5854, 5870, 5862, 3437","CowID, Start Date, Start Time, End Date, End Time, Duration, Second"
raw_mcgill_complete,Fall 2019,accelerometer_icetag_workbook_or_mapping,.xlsx,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/AllinOne_IceTag_Compiled_Lameness.xlsx,67.433,6,4,,,,8,"Sheet4, Summary, Summary_NoWeekend, Summary_NoWkEnd_NoWeird, Sheet2, Compiled_LB, Compiled_1, Compiled_2","Row Labels, Average of LT, Average of LB, Average of STEP"
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk1_05NOV2019-18NOV2019/8517_Tag161_05NOV2019-1847_18NOV2019-1128.csv,0.379,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk1_05NOV2019-18NOV2019/8517_Tag161_05NOV2019-1847_18NOV2019-1128_LB.csv,0.045,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk1_05NOV2019-18NOV2019/8525_Tag167_05NOV2019-1921_18NOV2019-1133.csv,0.378,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk1_05NOV2019-18NOV2019/8525_Tag167_05NOV2019-1921_18NOV2019-1133_LB.csv,0.075,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk1_05NOV2019-18NOV2019/8526_Tag86_05NOV2019-1847_18NOV2019-1133.csv,0.379,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk1_05NOV2019-18NOV2019/8526_Tag86_05NOV2019-1847_18NOV2019-1133_LB.csv,0.007,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk1_05NOV2019-18NOV2019/8527_Tag93_05NOV2019-1847_18NOV2019-1127.csv,0.378,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk1_05NOV2019-18NOV2019/8527_Tag93_05NOV2019-1847_18NOV2019-1127_LB.csv,0.117,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk1_05NOV2019-18NOV2019/8531_Tag163_05NOV2019-1922_18NOV2019-1133.csv,0.378,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk1_05NOV2019-18NOV2019/8531_Tag163_05NOV2019-1922_18NOV2019-1133_LB.csv,0.05,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk1_05NOV2019-18NOV2019/8536_Tag158_05NOV2019-1921_18NOV2019-1133.csv,0.378,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk1_05NOV2019-18NOV2019/8536_Tag158_05NOV2019-1921_18NOV2019-1133_LB.csv,0.23,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk2_18NOV2019-25NOV2019/8517_Tag175_18NOV2019-1127_25NOV2019-1151.csv,0.396,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk2_18NOV2019-25NOV2019/8517_Tag175_18NOV2019-1127_25NOV2019-1151_LB.csv,0.024,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk2_18NOV2019-25NOV2019/8525_Tag180_18NOV2019-1131_25NOV2019-1149.csv,0.396,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk2_18NOV2019-25NOV2019/8525_Tag180_18NOV2019-1131_25NOV2019-1149_LB.csv,0.029,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk2_18NOV2019-25NOV2019/8526_Tag177_18NOV2019-1131_25NOV2019-1151.csv,0.396,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk2_18NOV2019-25NOV2019/8526_Tag177_18NOV2019-1131_25NOV2019-1151_LB.csv,0.008,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk2_18NOV2019-25NOV2019/8527_Tag173_18NOV2019-1126_25NOV2019-1150.csv,0.396,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk2_18NOV2019-25NOV2019/8527_Tag173_18NOV2019-1126_25NOV2019-1150_LB.csv,0.037,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk2_18NOV2019-25NOV2019/8531_Tag164_18NOV2019-1130_25NOV2019-1149.csv,0.396,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk2_18NOV2019-25NOV2019/8531_Tag164_18NOV2019-1130_25NOV2019-1149_LB.csv,0.041,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk2_18NOV2019-25NOV2019/8536_Tag171_18NOV2019-1132_25NOV2019-1149.csv,0.396,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk2_18NOV2019-25NOV2019/8536_Tag171_18NOV2019-1132_25NOV2019-1149_LB.csv,0.011,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk3_25Nov2019-02DEC2019/8517_Tag160_25NOV2019-1144_02DEC2019-1131.csv,0.395,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk3_25Nov2019-02DEC2019/8517_Tag160_25NOV2019-1144_02DEC2019-1131_LB.csv,0.02,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk3_25Nov2019-02DEC2019/8525_Tag165_25NOV2019-1148_02DEC2019-1140.csv,0.395,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk3_25Nov2019-02DEC2019/8525_Tag165_25NOV2019-1148_02DEC2019-1140_LB.csv,0.072,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk3_25Nov2019-02DEC2019/8526_Tag179_25NOV2019-1145_02DEC2019-1131.csv,0.395,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk3_25Nov2019-02DEC2019/8526_Tag179_25NOV2019-1145_02DEC2019-1131_LB.csv,0.008,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk3_25Nov2019-02DEC2019/8527_Tag91_25NOV2019-1143_02DEC2019-1131.csv,0.395,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk3_25Nov2019-02DEC2019/8527_Tag91_25NOV2019-1143_02DEC2019-1131_LB.csv,0.117,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk3_25Nov2019-02DEC2019/8531_Tag97_25NOV2019-1148_02DEC2019-1140.csv,0.395,,,,,,,,
raw_mcgill_complete,Fall 2019,accelerometer_icetag_raw_csv,.csv,Données completes/Données accelerometres/Fall 2019/Icetag/IceTags/Group1_Wk3_25Nov2019-02DEC2019/8531_Tag97_25NOV2019-1148_02DEC2019-1140_LB.csv,0.016,,,,,,,,
