Treatment_hour,Treatment_pad_size(m2),Weather_conditions,n_obs,mean_steps_per_hour,mean_behavior_score,mean_pct_active_mobile,mean_pct_immobile
1,20,clear,4,85.0,0.2333333333333333,0.05,0.25
1,20,rain,1,62.0,0.26666666666666666,0.0,0.06666666666666667
1,20,snow,1,28.0,0.23333333333333334,0.0,0.06666666666666667
1,40,clear,2,60.5,0.25,0.03333333333333333,0.13333333333333333
1,40,rain,1,62.0,0.18333333333333332,0.06666666666666667,0.5333333333333333
1,40,snow,1,73.0,0.3,0.06666666666666667,0.0
1,60,clear,4,102.25,0.2791666666666667,0.08333333333333333,0.2833333333333333
1,60,rain,1,116.0,0.4666666666666667,0.3333333333333333,0.13333333333333333
1,80,clear,4,138.25,0.23333333333333334,0.08333333333333333,0.41666666666666663
1,80,rain,1,63.0,0.2833333333333333,0.06666666666666667,0.13333333333333333
1,80,snow,1,217.0,0.31666666666666665,0.2,0.3333333333333333
2,20,clear,3,108.5,0.19722222222222222,0.03333333333333333,0.3888888888888889
2,20,rain,1,56.0,0.15833333333333333,0.06666666666666667,0.6666666666666666
2,20,snow,1,195.0,0.08333333333333333,0.06666666666666667,0.8666666666666667
2,40,clear,4,101.5,0.20833333333333331,0.1,0.525
2,40,rain,1,88.0,0.21666666666666667,0.03333333333333333,0.43333333333333335
2,40,snow,1,109.0,0.20833333333333334,0.0,0.2
2,60,clear,4,98.625,0.25833333333333336,0.058333333333333334,0.21666666666666667
2,60,rain,1,162.0,0.25833333333333336,0.06666666666666667,0.3
2,60,snow,1,67.5,0.25,0.06666666666666667,0.26666666666666666
2,80,clear,2,86.5,0.25833333333333336,0.05,0.23333333333333334
2,80,light snow,1,242.5,0.23333333333333334,0.06666666666666667,0.3
2,80,rain,1,25.5,0.26666666666666666,0.0,0.06666666666666667
