season,Cow,T,Day,notif_lameness,lame_confidence,coverage_pct,herd_n_cows_at_T,herd_context_valid,Steps_sum,Steps_sum_herd_median,Steps_sum_herd_z,Steps_sum_vs_herd_pct,Motion Index_sum,Motion Index_sum_herd_median,Motion Index_sum_herd_z,Motion Index_sum_vs_herd_pct,Lying Time_sum,Lying Time_sum_herd_median,Lying Time_sum_herd_z,Lying Time_sum_vs_herd_pct,Transitions_sum,Transitions_sum_herd_median,Transitions_sum_herd_z,Transitions_sum_vs_herd_pct,herd_alerted_cows_3d,herd_alerted_frac_3d,herd_alerted_cows_7d,herd_alerted_frac_7d,collective_event_flag,herd_hypoactivity_signal,herd_posture_shift_signal,herd_specific_signal,reinforced_confidence_level,reinforced_interpretation
fall_2019,2062,2019-11-21 11:45:00,2019-11-21,1,57.9,100.0,29,True,0,5.0,-0.6744907594765952,-100.0,0,17.0,-0.9555285759251765,-100.0,15.0,4.966666666666667,1.3625618698151352,202.01342281879195,0,1.0,-0.6744907594765952,-100.0,6,0.2,17,0.5666666666666667,True,False,True,True,C_probable_evenement_collectif,"Alerte en contexte collectif: interpretation clinique prudente; verifier gestion, meteo, protocole ou evenement de troupeau."
fall_2019,2062,2019-11-22 11:15:00,2019-11-22,1,48.5,100.0,29,True,13,8.0,0.6744907594765952,62.5,36,15.0,1.287664177182591,140.0,2.216666666666667,0.6166666666666667,1.7500300786419767,259.4594594594594,14,0.0,,,7,0.23333333333333334,16,0.5333333333333333,True,False,True,True,C_probable_evenement_collectif,"Alerte en contexte collectif: interpretation clinique prudente; verifier gestion, meteo, protocole ou evenement de troupeau."
fall_2019,2062,2019-11-29 10:45:00,2019-11-29,1,58.8,100.0,30,True,106,22.5,2.5031101518353642,371.1111111111111,816,75.5,6.9369501026724825,980.794701986755,4.533333333333333,0.10833333333333331,10.0,4084.6153846153857,16,0.5,10.0,3100.0,8,0.26666666666666666,17,0.5666666666666667,True,False,True,True,C_probable_evenement_collectif,"Alerte en contexte collectif: interpretation clinique prudente; verifier gestion, meteo, protocole ou evenement de troupeau."
fall_2019,2062,2019-12-02 11:45:00,2019-12-02,1,58.3,100.0,30,True,0,2.5,-0.6744907594765952,-100.0,2,12.0,-0.7494341771962169,-83.33333333333333,15.0,11.533333333333335,0.6744907594765952,30.057803468208075,0,1.0,-0.6744907594765952,-100.0,8,0.26666666666666666,12,0.4,False,False,False,False,B_individuelle_a_verifier,"Alerte individuelle a verifier: signal pipeline conserve, mais support troupeau moins net ou confidence moderee."
fall_2019,2062,2019-12-09 08:00:00,2019-12-09,1,48.3,100.0,30,True,4,1.0,2.023472278429786,300.0,20,12.0,0.44966050631773014,66.66666666666667,5.15,8.975,-0.44738621184936006,-42.6183844011142,4,0.0,,,5,0.16666666666666666,12,0.4,False,False,False,False,B_individuelle_a_verifier,"Alerte individuelle a verifier: signal pipeline conserve, mais support troupeau moins net ou confidence moderee."
fall_2019,2062,2019-12-13 11:45:00,2019-12-13,1,57.0,100.0,30,True,0,0.0,,,0,1.0,-0.6744907594765952,-100.0,15.0,15.0,,0.0,0,0.0,,,7,0.23333333333333334,14,0.4666666666666667,False,False,False,False,B_individuelle_a_verifier,"Alerte individuelle a verifier: signal pipeline conserve, mais support troupeau moins net ou confidence moderee."
fall_2019,2063,2019-11-23 02:45:00,2019-11-23,1,48.1,100.0,29,True,39,0.0,,,85,6.0,8.88079499977517,1316.6666666666667,0.0,15.0,,-100.0,0,0.0,,,6,0.2,15,0.5,True,False,False,False,C_probable_evenement_collectif,"Alerte en contexte collectif: interpretation clinique prudente; verifier gestion, meteo, protocole ou evenement de troupeau."
fall_2019,2063,2019-11-30 09:30:00,2019-11-30,1,38.9,100.0,30,True,8,1.5,2.9227932910652457,433.3333333333333,15,8.5,0.7306983227663114,76.47058823529412,1.5,4.583333333333334,-0.45374832910243684,-67.27272727272727,5,0.0,,,6,0.2,14,0.4666666666666667,False,False,False,False,B_individuelle_a_verifier,"Alerte individuelle a verifier: signal pipeline conserve, mais support troupeau moins net ou confidence moderee."
fall_2019,2063,2019-12-05 13:00:00,2019-12-05,1,48.8,100.0,30,True,5,7.0,-0.3372453797382976,-28.571428571428573,33,19.5,0.8277841139030941,69.23076923076923,0.4166666666666667,1.9749999999999999,-0.532193130895035,-78.90295358649789,8,0.5,10.0,1500.0,7,0.23333333333333334,9,0.3,False,False,False,False,B_individuelle_a_verifier,"Alerte individuelle a verifier: signal pipeline conserve, mais support troupeau moins net ou confidence moderee."
fall_2019,2063,2019-12-13 09:30:00,2019-12-13,1,47.8,100.0,30,True,1,12.0,-0.6182831961868789,-91.66666666666667,13,25.5,-0.3306327252336251,-49.01960784313726,10.85,0.10833333333333331,10.0,9915.384615384619,1,0.0,,,9,0.3,14,0.4666666666666667,True,False,True,True,C_probable_evenement_collectif,"Alerte en contexte collectif: interpretation clinique prudente; verifier gestion, meteo, protocole ou evenement de troupeau."
