Cow,Start,End,Steps,Motion Index,Lying Time,Standing Time,Transitions,Transitions Up,Transitions Down
2062,2019-06-06 04:15:00,2019-06-06 04:30:00,0,9,0:15:00,0:00:00,0,0,0
2062,2019-06-06 04:30:00,2019-06-06 04:45:00,0,1,0:15:00,0:00:00,0,0,0
2062,2019-06-06 04:45:00,2019-06-06 05:00:00,0,7,0:15:00,0:00:00,0,0,0
2062,2019-06-06 05:00:00,2019-06-06 05:15:00,0,10,0:15:00,0:00:00,0,0,0
2062,2019-06-06 05:15:00,2019-06-06 05:30:00,8,24,0:01:07,0:13:53,0,0,0
2062,2019-06-06 05:30:00,2019-06-06 05:45:00,21,30,0:00:15,0:14:45,5,2,3
2062,2019-06-06 05:45:00,2019-06-06 06:00:00,14,25,0:00:13,0:14:47,6,3,3
2062,2019-06-06 06:00:00,2019-06-06 06:15:00,12,23,0:00:35,0:14:25,8,4,4
2062,2019-06-06 06:15:00,2019-06-06 06:30:00,10,22,0:01:33,0:13:27,13,6,7
2062,2019-06-06 06:30:00,2019-06-06 06:45:00,15,30,0:01:24,0:13:36,9,4,5
2062,2019-06-06 06:45:00,2019-06-06 07:00:00,5,29,0:07:15,0:07:45,7,3,4
2062,2019-06-06 07:00:00,2019-06-06 07:15:00,0,1,0:15:00,0:00:00,0,0,0
2062,2019-06-06 07:15:00,2019-06-06 07:30:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-06 07:30:00,2019-06-06 07:45:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-06 07:45:00,2019-06-06 08:00:00,0,5,0:13:13,0:01:47,1,0,1
2062,2019-06-06 08:00:00,2019-06-06 08:15:00,16,44,0:03:41,0:11:19,22,11,11
2062,2019-06-06 08:15:00,2019-06-06 08:30:00,8,23,0:02:54,0:12:06,11,5,6
2062,2019-06-06 08:30:00,2019-06-06 08:45:00,12,23,0:02:38,0:12:22,10,5,5
2062,2019-06-06 08:45:00,2019-06-06 09:00:00,0,1,0:15:00,0:00:00,0,0,0
2062,2019-06-06 09:00:00,2019-06-06 09:15:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-06 09:15:00,2019-06-06 09:30:00,0,4,0:15:00,0:00:00,0,0,0
2062,2019-06-06 09:30:00,2019-06-06 09:45:00,15,56,0:01:12,0:13:48,7,3,4
2062,2019-06-06 09:45:00,2019-06-06 10:00:00,10,32,0:00:29,0:14:31,4,2,2
2062,2019-06-06 10:00:00,2019-06-06 10:15:00,17,31,0:00:23,0:14:37,4,2,2
2062,2019-06-06 10:15:00,2019-06-06 10:30:00,14,23,0:00:40,0:14:20,1,0,1
2062,2019-06-06 10:30:00,2019-06-06 10:45:00,13,27,0:00:53,0:14:07,8,4,4
2062,2019-06-06 10:45:00,2019-06-06 11:00:00,10,32,0:06:08,0:08:52,1,0,1
2062,2019-06-06 11:00:00,2019-06-06 11:15:00,14,28,0:00:28,0:14:32,5,2,3
2062,2019-06-06 11:15:00,2019-06-06 11:30:00,13,22,0:00:04,0:14:56,1,0,1
2062,2019-06-06 11:30:00,2019-06-06 11:45:00,14,27,0:00:09,0:14:51,4,2,2
2062,2019-06-06 11:45:00,2019-06-06 12:00:00,13,29,0:01:21,0:13:39,6,3,3
2062,2019-06-06 12:00:00,2019-06-06 12:15:00,17,43,0:02:23,0:12:37,1,0,1
2062,2019-06-06 12:15:00,2019-06-06 12:30:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-06 12:30:00,2019-06-06 12:45:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-06 12:45:00,2019-06-06 13:00:00,12,34,0:02:28,0:12:32,0,0,0
2062,2019-06-06 13:00:00,2019-06-06 13:15:00,2,5,0:09:41,0:05:19,1,0,1
2062,2019-06-06 13:15:00,2019-06-06 13:30:00,0,4,0:15:00,0:00:00,0,0,0
2062,2019-06-06 13:30:00,2019-06-06 13:45:00,0,2,0:15:00,0:00:00,0,0,0
2062,2019-06-06 13:45:00,2019-06-06 14:00:00,0,3,0:15:00,0:00:00,0,0,0
2062,2019-06-06 14:00:00,2019-06-06 14:15:00,0,1,0:15:00,0:00:00,0,0,0
2062,2019-06-06 14:15:00,2019-06-06 14:30:00,0,0,0:15:00,0:00:00,0,0,0
2062,2019-06-06 14:30:00,2019-06-06 14:45:00,3,18,0:12:44,0:02:16,1,0,1
2062,2019-06-06 14:45:00,2019-06-06 15:00:00,9,36,0:02:59,0:12:01,15,7,8
2062,2019-06-06 15:00:00,2019-06-06 15:15:00,15,30,0:00:51,0:14:09,8,4,4
2062,2019-06-06 15:15:00,2019-06-06 15:30:00,14,30,0:01:04,0:13:56,8,4,4
2062,2019-06-06 15:30:00,2019-06-06 15:45:00,12,25,0:00:06,0:14:54,2,1,1
2062,2019-06-06 15:45:00,2019-06-06 16:00:00,14,18,0:04:06,0:10:54,1,0,1
2062,2019-06-06 16:00:00,2019-06-06 16:15:00,3,10,0:10:45,0:04:15,1,0,1
2062,2019-06-06 16:15:00,2019-06-06 16:30:00,6,16,0:07:52,0:07:08,1,0,1
2062,2019-06-06 16:30:00,2019-06-06 16:45:00,0,0,0:15:00,0:00:00,0,0,0
