Start,Steps,THI,n_cows
2019-07-01 08:30:00,2.8666666666666667,65.34863860337015,15
2019-07-01 08:45:00,4.4,65.91925904343516,15
2019-07-01 09:00:00,5.733333333333333,66.60349790844892,15
2019-07-01 09:15:00,9.866666666666667,67.27729182685901,15
2019-07-01 09:30:00,23.6,67.80837626082773,15
2019-07-01 09:45:00,36.53333333333333,68.35792282942525,15
2019-07-01 10:00:00,29.6,68.63049278442939,15
2019-07-01 10:15:00,33.733333333333334,69.38639602246523,15
2019-07-01 10:30:00,19.666666666666668,70.47991469164079,15
2019-07-01 10:45:00,18.6,71.1575717301613,15
2019-07-01 11:00:00,16.666666666666668,71.41640305319306,15
2019-07-01 11:15:00,27.4,71.72400672236898,15
2019-07-01 11:30:00,27.8,71.76014066300488,15
2019-07-01 11:45:00,19.2,71.99938368059634,15
2019-07-01 12:00:00,19.0,72.17102748128703,15
2019-07-01 12:15:00,29.066666666666666,72.67516118476085,15
2019-07-01 12:30:00,21.266666666666666,72.8318788398671,15
2019-07-01 12:45:00,13.6,72.96204818201252,15
2019-07-01 13:00:00,3.4,72.97669896853544,15
2019-07-01 13:15:00,2.466666666666667,73.02044544244309,15
2019-07-01 13:30:00,6.0,73.28826092167814,15
2019-07-01 13:45:00,2.8,73.38783332103336,15
2019-07-01 14:00:00,4.2,73.61709388919162,15
2019-07-01 14:15:00,1.6,73.42634377566081,15
2019-07-01 14:30:00,1.8,73.75570900955144,15
2019-07-01 14:45:00,5.733333333333333,73.88186810340864,15
2019-07-01 15:00:00,8.333333333333334,74.24198380803476,15
2019-07-01 15:15:00,9.4,74.28969452047623,15
2019-07-01 15:30:00,9.4,74.25728900096863,15
2019-07-01 15:45:00,8.8,74.31706162927573,15
2019-07-01 16:00:00,9.866666666666667,74.94155953002814,15
2019-07-01 16:15:00,8.666666666666666,74.65727762412503,15
2019-07-01 16:30:00,9.066666666666666,74.4973619345812,15
2019-07-01 16:45:00,11.8,74.01576044868317,15
2019-07-01 17:00:00,16.666666666666668,74.09702196995742,15
2019-07-01 17:15:00,21.6,74.17657004360363,15
2019-07-01 17:30:00,17.0,73.62419890004395,15
2019-07-01 17:45:00,9.866666666666667,73.68444597275662,15
2019-07-01 18:00:00,2.466666666666667,73.26412659653285,15
2019-07-01 18:15:00,0.5333333333333333,73.16468125848708,15
2019-07-01 18:30:00,5.4,73.4591831268217,15
2019-07-01 18:45:00,6.0,72.85618009550448,15
2019-07-01 19:00:00,6.133333333333334,72.51453240950907,15
2019-07-01 19:15:00,6.933333333333334,72.31093979922427,15
2019-07-01 19:30:00,8.466666666666667,72.10983828634473,15
2019-07-01 19:45:00,13.733333333333333,71.77776569497674,15
2019-07-01 20:00:00,12.4,71.62701279204015,15
2019-07-01 20:15:00,13.733333333333333,71.48322331025686,15
2019-07-01 20:30:00,11.533333333333333,71.31733910722447,15
2019-07-01 20:45:00,11.0,71.19002189659703,15
2019-07-01 21:00:00,12.733333333333333,71.2790745085283,15
