Experiment,Cow,scan_date,icetag_covered_pm1j,icetag_covered_same_day,alert_present_pm1j,n_alerts_pm1j,Pct_locomotion,Pct_lying,Pct_Idle,Pct_Vigilance,Pct_Explo,Pct_eating,Pct_Social,Pct_Maintenance,Pct_Other
Winter 2019,8510,2019-02-15,1,1,0,0,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
Winter 2019,8510,2019-02-22,1,1,0,0,0.0,0.0,0.4,0.0,0.0,0.0,0.5333333333333333,0.06666666666666667,0.0
Winter 2019,8510,2019-03-07,1,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter 2019,8510,2019-03-15,1,1,0,0,0.1,0.0,0.8333333333333334,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0
Winter 2019,8510,2019-03-29,1,1,0,0,0.0,0.0,0.8666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0
Summer 2019,5865,2019-07-04,1,1,0,0,0.0,,0.85,,0.1,0.05,0.0,0.0,0.0
Summer 2019,5854,2019-07-04,1,1,1,1,0.0,,0.75,,0.05,0.2,0.0,0.0,0.0
Summer 2019,8520,2019-07-04,1,1,0,0,0.0,,0.9,,0.0,0.1,0.0,0.0,0.0
Summer 2019,419,2019-07-04,1,1,0,0,0.0,,0.7,,0.3,0.0,0.0,0.0,0.0
Summer 2019,5854,2019-07-05,1,1,1,1,0.08,,0.4,,0.08,0.24,0.16,0.04,0.0
Summer 2019,8536,2019-07-05,1,1,0,0,0.0,,0.36,,0.16,0.36,0.04,0.08,0.0
Summer 2019,5258,2019-07-05,1,1,1,1,0.32,,0.32,,0.04,0.32,0.0,0.0,0.0
Summer 2019,5169,2019-07-05,1,1,0,0,0.0,,0.6,,0.1,0.2,0.0,0.1,0.0
Summer 2019,5857,2019-07-05,1,1,0,0,0.0,,0.2,,0.0,0.8,0.0,0.0,0.0
Summer 2019,419,2019-07-05,1,1,0,0,0.0,,0.7,,0.2,0.1,0.0,0.0,0.0
Summer 2019,5865,2019-07-12,1,1,0,0,0.0,,0.6333333333333333,,0.03333333333333333,0.3,0.03333333333333333,0.0,0.0
Summer 2019,419,2019-07-12,1,1,0,0,0.0,,0.8620689655172413,,0.06896551724137931,0.06896551724137931,0.0,0.0,0.0
