n_bins,if_anomaly_points,problem_points,lameness_points,problem_starts,lameness_starts,lameness_notifs,critique_points,behavioral_warning_points,behavioral_warning_notifs,instability_warning_notifs,hybrid_warning_notifs,coverage_mean,coverage_min,Cow
3145,190,33,33,4,4,4,6,885,6,13,14,100.0,100.0,3437
3144,182,47,47,6,6,6,7,780,9,11,13,100.0,100.0,5865
3144,193,78,78,10,10,8,17,759,7,7,13,100.0,100.0,2062
3072,171,7,7,2,2,2,2,913,6,13,13,100.0,100.0,8526
3140,152,0,0,0,0,0,0,1020,2,11,13,100.0,100.0,3435
3072,232,69,69,5,5,5,7,508,9,2,12,100.0,100.0,8525
3145,168,34,34,2,2,2,3,820,6,12,12,100.0,100.0,5857
3145,166,56,56,6,6,5,11,966,6,8,12,100.0,100.0,2041
3145,198,49,49,3,3,3,5,401,9,7,11,100.0,100.0,5870
3145,177,38,38,3,3,3,7,942,6,8,11,100.0,100.0,5854
3072,182,19,19,1,1,1,1,524,9,1,10,100.0,100.0,8536
3072,206,92,92,8,8,8,13,477,8,6,10,100.0,100.0,8517
3142,204,54,54,5,5,4,5,658,7,11,10,100.0,100.0,3444
3141,183,0,0,0,0,0,0,352,7,9,10,100.0,100.0,8500
3141,198,29,29,4,4,3,3,491,7,5,10,100.0,100.0,5874
3141,158,9,9,1,1,1,0,534,7,4,10,78.57370264247055,0.0,5872
3140,198,0,0,0,0,0,0,706,6,11,10,100.0,100.0,2078
3142,222,34,34,7,7,6,5,521,6,8,10,100.0,100.0,2066
3072,143,0,0,0,0,0,0,1053,5,6,10,100.0,100.0,8531
3140,198,19,19,7,7,4,5,618,7,8,9,100.0,100.0,2063
3141,172,72,72,7,7,7,16,622,7,8,9,100.0,100.0,5879
3145,218,35,35,5,5,4,3,358,7,3,9,100.0,100.0,821
3144,169,38,38,4,4,4,11,918,8,1,8,100.0,100.0,2057
3144,219,74,74,7,7,5,4,634,7,1,8,100.0,100.0,5871
3141,177,47,47,6,6,5,7,972,6,4,8,100.0,100.0,2081
3142,179,32,32,4,4,3,15,776,6,4,8,100.0,100.0,5875
3072,182,34,34,5,5,5,8,561,7,5,7,100.0,100.0,8527
3146,193,30,30,3,3,2,1,278,5,6,7,100.0,100.0,5862
3145,266,64,64,5,5,4,7,308,5,3,7,100.0,100.0,5327
3140,215,11,11,1,1,1,0,349,5,1,5,100.0,100.0,8501
