Experiment,Paddock,Date,Week,Cow,Code,Trt,Pct_locomotion,Pct_lying,Pct_Idle,Pct_Vigilance,Pct_Explo,Pct_eating,Pct_Social,Pct_Maintenance,Pct_Other,jour,temp_jour,rh_jour,THI_jour
Summer2019,1,2019-07-04,1.0,5865,Cat/Cel,80 - 2h,0.0,,0.85,,0.1,0.05,0.0,0.0,0.0,2019-07-04,25.626020469665526,63.02715946949468,73.34465006725996
Summer2019,3,2019-07-04,1.0,5854,Cactus,40 - 2h,0.0,,0.75,,0.05,0.2,0.0,0.0,0.0,2019-07-04,25.626020469665526,63.02715946949468,73.34465006725996
Summer2019,13,2019-07-04,1.0,8520,Zebra,20 - 1h,0.0,,0.9,,0.0,0.1,0.0,0.0,0.0,2019-07-04,25.626020469665526,63.02715946949468,73.34465006725996
Summer2019,15,2019-07-04,1.0,419,Green,60 - 1h,0.0,,0.7,,0.3,0.0,0.0,0.0,0.0,2019-07-04,25.626020469665526,63.02715946949468,73.34465006725996
Summer2019,3,2019-07-05,1.2,5854,Cactus,40 - 2h,0.08,,0.4,,0.08,0.24,0.16,0.04,0.0,2019-07-05,23.810034272935653,80.58929494841603,73.02136892474823
Summer2019,5,2019-07-05,1.2,8536,Blue lines,20 - 2h,0.0,,0.36,,0.16,0.36,0.04,0.08,0.0,2019-07-05,23.810034272935653,80.58929494841603,73.02136892474823
Summer2019,7,2019-07-05,1.2,5258,Orange,60 - 2h,0.32,,0.32,,0.04,0.32,0.0,0.0,0.0,2019-07-05,23.810034272935653,80.58929494841603,73.02136892474823
Summer2019,9,2019-07-05,1.2,5169,Unicorn,80 - 1h,0.0,,0.6,,0.1,0.2,0.0,0.1,0.0,2019-07-05,23.810034272935653,80.58929494841603,73.02136892474823
Summer2019,11,2019-07-05,1.2,5857,Yellow,40 - 1h,0.0,,0.2,,0.0,0.8,0.0,0.0,0.0,2019-07-05,23.810034272935653,80.58929494841603,73.02136892474823
Summer2019,15,2019-07-05,1.2,419,Green,60 - 1h,0.0,,0.7,,0.2,0.1,0.0,0.0,0.0,2019-07-05,23.810034272935653,80.58929494841603,73.02136892474823
Summer2019,2,2019-07-12,2.0,5865,Cat/Cel,60 -2h,0.0,,0.6333333333333333,,0.03333333333333333,0.3,0.03333333333333333,0.0,0.0,2019-07-12,21.59359337145443,82.15247909926047,69.43079011197545
Summer2019,4,2019-07-12,2.0,419,Green,20 - 2h,0.0,,0.8620689655172413,,0.06896551724137931,0.06896551724137931,0.0,0.0,0.0,2019-07-12,21.59359337145443,82.15247909926047,69.43079011197545
Summer2019,6,2019-07-12,2.0,5169,Unicorn,40 - 2h,0.0,,0.6896551724137931,,0.13793103448275862,0.1724137931034483,0.0,0.0,0.0,2019-07-12,21.59359337145443,82.15247909926047,69.43079011197545
